"","ID","label","ct_eligibility"
"429",429,"BriefSummary","COVID-19 has rapidly evolved into a generalized global pandemic. Post-exposure prophylaxis (PEP) against on COVID-19 was identified as an urgent research priority by the WHO, and lopinavir/ritonavir (LPV/r) is a promising candidate for both COVID-19 treatment and PEP, with a good safety profile and global availability. This is a cluster randomized controlled trial (RCT) of oral LPV/r as PEP against COVID-19, that will address the immediate need for preventive interventions, generate key data on COVID-19 transmission, and serve as a research platform for future vaccines and preventive agents."
"430",430,"BriefSummary","To evaluate the safety, and efficacy of the ASR device for the temporary improvement in the appearance of a keloids."
"431",431,"BriefSummary","The additional effect of personalized health education compared to general education following the internationally accepted principles will be evaluated in the prevention of the serious course of the novel coronavirus infection. It is hypothesised that personalized health education provides a greater degree of lifestyle change, thus the risk of a serious course of infection decreases."
"432",432,"BriefSummary","The purpose of this study is to assess the safety and efficacy of an investigational nasal aerosol at two doses compared with placebo nasal aerosol in the treatment of seasonal allergic rhinitis in children (6-11 years of age)."
"433",433,"BriefSummary","Ragweed MATAMPL has been developed to provide pre-seasonal specific immunotherapy for patients with hypersensitivity to ragweed pollen (hay fever). This novel formulation is designed to provide a vaccine that will be efficacious with only four escalating dose injections administered before the start of the pollen season.

In this study, the safety and efficacy of Ragweed MATAMPL will be assessed by exposing allergic subjects to Ragweed pollen in an environmental exposure chamber (EEC). Patient symptomatic response to pollen and patient quality of life in the EEC will be determined."
"434",434,"BriefSummary","This current study is planned as a dedicated pharmacodynamic (effect of drug on the body) study to investigate the dose response in rhinitic subjects at doses where GSK256066 has been proven to work (200mcg) or expected to (50mcg) work. This study also aims to investigate the lower end of the predicted therapeutic range."
"435",435,"BriefSummary","This study will assess the prevalence and incidence of COVID-19 infection in patients with chronic plaque psoriasis on immunosuppressant therapy."
"436",436,"BriefSummary","This study seeks to prospectively demonstrate that Nasonex is better than placebo in relieving nasal congestion in patients with seasonal allergic rhinitis."
"437",437,"BriefSummary","This study seeks to prospectively demonstrate that Nasonex is better than placebo in relieving nasal congestion in patients with seasonal allergic rhinitis."
"438",438,"BriefSummary","This study seeks to prospectively demonstrate that Nasonex is better than placebo in relieving nasal congestion in patients with seasonal allergic rhinitis."
"439",439,"BriefSummary","The purpose of this study was to test the effectiveness and side effects of desloratadine (Aerius) in patients with hayfever. Patients took desloratadine once a day for 15 days. At the end of therapy, they scored how severe their hayfever symptoms were and how they responded to therapy. Side effects were recorded."
"440",440,"BriefSummary","RV568 is being developed for the treatment of diseases such as asthma, COPD and allergic rhinitis (e.g. hayfever). The main aim of this study is to investigate whether RV568 ameliorates the nasal symptoms to low doses of grass pollen in healthy subjects with seasonal allergic rhinitis."
"441",441,"BriefSummary","This active vs active comparative trial will evaluate the safety and efficacy of incremental doses of atropine in combination with pseudoephedrine 120 mg/chlorpheniramine 8 mg in adult patients with a history of seasonal allergic rhinitis. Hypotheses are defined by total nasal symptom scores (TNSS) recorded by subjects in diaries where efficacy will be established by statistical significance where p < 0.05."
"442",442,"BriefSummary","To Evaluate the Efficacy and Safety of Levocetirizine Versus Loratadine for Treatment of Seasonal Allergic Rhinitis"
"443",443,"BriefSummary","Stromal vascular fraction of cells (SVF) will be extracted from lipoaspirate by enzymatic digestion. SVF will be administered in a single dose intraarticularly 4 weeks after arthroscopic debridement. All patients will receive cell therapy.This is a single arm study with no control."
"444",444,"BriefSummary","Autologous adipose-derived regenerative cells (ADRC) extracted using Celution 800/CRS System (Cytori Therapeutics Inc) from a portion of the fat harvested from the patient's front abdominal wall. ADRC will be administered one-time intracavernosally. This is a single arm study with no control. All patients receive cell therapy."
"445",445,"BriefSummary","This study is to evaluate the effectiveness of a new drug on congestion in subjects with seasonal allergic rhinitis. This effect will be compared to placebo and to the decongestant, pseudoephedrine."
"446",446,"BriefSummary","Primary Objective:

To determine the effect of venglustat on the rate of total kidney volume (TKV) growth and estimated glomerular filtration rate (eGFR) decline in patients at risk of rapidly progressive Autosomal Dominant Polycystic Kidney Disease (ADPKD).

Secondary Objectives:

To determine the effect of venglustat on the rate of renal function decline (Stage 1) and on the rate of TKV growth (Stage 2).
To evaluate the pharmacokinetics (PK) of venglustat in Autosomal Dominant Polycystic Kidney Disease patients (Stages 1 and 2).
Safety/tolerability objective:
To characterize the safety profile of venglustat (Stages 1 and 2).
To evaluate the effect of venglustat on mood using Beck Depression Inventory II (BDI-II) (Stages 1 and 2).
To evaluate the effect of venglustat on the lens by ophthalmological examination (Stages 1 and 2).
To evaluate change in nocturia based on patient reported diary (Stages 1 and 2).
To evaluate the effect of venglustat on kidney concentrating ability by assessing urine osmolality (in patients not on diuretic) (Stage 2 only)."
"447",447,"BriefSummary","The aim of the study is to determine the efficacy and safety of ciclesonide nasal spray in children with seasonal allergic rhinitis. Ciclesonide will be administered intranasally at two dose levels once daily. The study consists of a baseline period (1 to 3 weeks) and a treatment period (2 weeks)."
"448",448,"BriefSummary","Evaluation of the efficacy and safety of Ganovo combined with ritonavir for 2019-nCoV infected patients."
"449",449,"BriefSummary","The purpose of this study is to determine if the investigational drug is effective and safe in children with seasonal allergic rhinitis."
"450",450,"BriefSummary","In December 2019 in the city of Wuhan in China, a series of patients with unclear pneumonia was noticed, some of whom have died of it. In virological analyses of samples from the patients' deep respiratory tract, a novel coronavirus was isolated (SARS-CoV-2). The disease spread rapidly in the city of Wuhan at the beginning of 2020 and soon beyond in China and, in the coming weeks, around the world.

Initial studies described numerous severe courses, particularly those associated with increased patient age and previous cardiovascular, metabolic and respiratory diseases. A small number of the particularly severely ill patients required not only highly invasive ventilation therapy but also extracorporeal membrane oxygenation (vv-ECMO) to supply the patient's blood with sufficient oxygen.

Even under maximum intensive care treatment, a very high mortality rate of approximately 80-100% was observed in this patient group. In addition, high levels of interleukin-6 (IL-6) could be detected in the blood of these severely ill patients, which in turn were associated with poor outcome.

From experience in the therapy of severely ill patients with severe infections and respiratory failure, we know that treatment with a CytoSorb® adsorber can lead to a reduction of the circulating pro- and anti-inflammatory cytokines and thus improve the course of the disease and the outcome of the patients.

Our primary goal is to investigate the efficacy of treatment with a CytoSorb® adsorber in patients with severe COVID-19 disease requiring venous ECMO over 72 hours after initiation of ECMO. The primary endpoint is the reduction of plasma interleukin-6 levels 72 hours after initiation of ECMO support. As secondary endpoints we investigate 30-day survival, vasopressor and volume requirements, lactate in terms of lactate and platelet function. As safety variables, we further investigate the levels of the applied antibiotics (usually ampicillin and sulbactam)."
"451",451,"BriefSummary","Study to evaluate the two different strengths and dose regimen of GSP 301 to be effective in treatment of seasonal allergic rhinitis."
"452",452,"BriefSummary","This registry aims to monitor the safety of Compound Kuh-seng Injection and to identify the potential risk factors for the adverse drug reactions. Compound Kuh-seng Injection is a kind of natural compound injection extracted from herbs Kuh-seng (Radix Sophorae Flavescentis) and Rhizoma Heterosmilacis Japonicae."
"453",453,"BriefSummary","ACT is a randomized clinical trial to assess therapies to reduce the clinical progression of COVID-19."
"454",454,"BriefSummary","Triple blinded, phase III randomized controlled trial with parallel groups (200mg of hydroxychloroquine per day vs. placebo) aiming to prove hydroxychloroquine's security and efficacy as prophylaxis treatment for healthcare personnel exposed to COVID-19 patients."
"455",455,"BriefSummary","Primary Objective:

To demonstrate the superiority of sotagliflozin versus placebo on hemoglobin A1c (HbA1c) reduction in patients with type 2 diabetes (T2D) who have inadequate glycemic control with metformin.

Secondary Objectives:

To compare sotagliflozin versus placebo for:
Change from baseline in 2-hour postprandial glucose (PPG) following a mixed meal.
Change from baseline in fasting plasma glucose (FPG);
Change from Baseline in systolic blood pressure (SBP) for patients with baseline SBP ≥130 mmHg;
Change from baseline in SBP for all patients;
Change from baseline in body weight;
Proportion of patients with HbA1c <6.5% and <7.0%.
To evaluate the safety of sotagliflozin versus placebo."
"456",456,"BriefSummary","Stromal vascular fraction of cells (SVF) will be extracted from lipoaspirate by enzymatic digestion. SVF will be administered in a single dose intraarticularly. All patients will receive cell therapy.This is a single arm study with no control."
"457",457,"BriefSummary","Primary Objective:

To demonstrate the superiority of sotagliflozin dose 1 versus placebo with respect to HbA1c (glycosylated hemoglobin) reduction in patients with T2D (type 2 diabetes mellitus) who have inadequate glycemic control on basal insulin alone or with OADs (oral antidiabetic drugs).

Secondary Objectives:

To assess the effects of sotagliflozin dose 1 versus placebo on Fasting Plasma Glucose (FPG), body weight, Systolic Blood Pressure (SBP), and HbA1c.
To assess the effects of sotagliflozin dose 2 versus placebo on HbA1c, body weight, FPG, and SBP.
To evaluate the safety of sotagliflozin doses 1 and 2 versus placebo."
"458",458,"BriefSummary","Based on data regarding the effect of colchicine on the inflammasome NLP3 and microtubule formation and associations thereof with the pathogenetic cycle of SARS-COV-2, the question arises whether colchicine, administered in a relatively low dose, could potentially have an effect the patients' clinical course by limiting the myocardial necrosis and pneumonia development in the context of COVID-19. If present, this effect would be attributed to its potential to inhibit inflammasome and (less probably) to the process of SARS-CoV-2 endocytosis in myocardial and endothelial respiratory cells."
"459",459,"BriefSummary","the investigators conduct a randomized, open-label trial to evaluate and compare the safety and efficacy of Xiyanping injection in patients with 2019-nCoV pneumonia."
"460",460,"BriefSummary","CHRONOLOGICAL DESCRIPTION OF THE STUDY

Information provided to study participants
Collection of written informed consent
Harvesting of myometrial biopsies
Creation of tissue explants using myometrial biopsies
Stimulation of the explants with LPS
Study of the effect of SAR150640 (beta3-adrenergic agonist) on LPS-induced oxidative stress Moreover, demonstrating the ability of beta3-adrenergic receptor agonists to prevent the appearance of oxidative stress and its consequences on tissues, as a complement to previous studies, is an additional argument for the clinical development of this class of pharmaceuticals in the management of threatened premature delivery and labour induction."
"461",461,"BriefSummary","The purpose of this study is to compare the risk of curve progression in Adolescent Idiopathic Scoliosis for subjects treated with bracing as compared to those without bracing."
"462",462,"BriefSummary","The purpose of this study is to investigate the effect of low glycaemic diet on blood glucose control in Chinese type 2 diabetic patients."
"463",463,"BriefSummary","There is now a global epidemic of diabetes and obesity affecting more than 300 million people worldwide with Asia in the forefront. In Hong Kong, diabetes affects more than 10% of the population. Patients with diabetes have a 12—25% lifetime risk of developing a foot ulcer.The abnormal metabolic milieus of hyperglycemia, hyperlipidemia, hypertension, pro-thrombotic state and chronic inflammation in diabetes causes atherosclerosis.A significant proportion of subjects have underlying peripheral arterial disease and neuropathy. These subjects are at great risk of developing infective foot ulceration secondary to impaired vascular supply, sensory loss and minor trauma.Without prompt and proper medical treatment, these infective ulcers will deteriorate leading to gangrene and limb amputation. In-vitro and in-vivo studies revealed that 5 out of the 12 herbs were effective in promoting fibroblast proliferation and angiogenesis. To minimize potential drug interactions and adverse effects from multiple components in a recipe of Traditional Chinese Medicine (TCM), the investigators have developed a simplified formula from the 12 herbs consisting of only two herbs. In this proof-of-concept study, the investigators hypothesize that the novel recipe of herbal medicine will expedite healing of early foot ulcer by promoting vascularisation and granulation as well as modulating inflammatory response."
"464",464,"BriefSummary","The purpose of this study is to test the hypothesis that post-exposure prophylaxis with hydroxychloroquine will reduce the symptomatic secondary attack rate among household contacts of known or suspected COVID-19 patients."
"465",465,"BriefSummary","Primary Objective:

To demonstrate the reduction of low-density lipoprotein cholesterol (LDL-C) by alirocumab administration as add-on therapy to non-statin lipid modifying therapy (LMT) including diet therapy alone or the lowest strength of statin in comparison with placebo after 12 weeks of treatment in participants with hypercholesterolemia.

Secondary Objective:

To evaluate the effect of two treatment regimens of alirocumab on other lipid parameters: apolipoprotein B (Apo-B), non-high-density lipoprotein cholesterol (non HDL-C), total cholesterol (TC), lipoprotein (a) (Lp[a]), high-density lipoprotein cholesterol (HDL-C), triglyceride (TG), and apolipoprotein A-1 (Apo A-1).
To evaluate the safety and tolerability of alirocumab administration.
To evaluate the development of anti-alirocumab antibodies.
To evaluate the pharmacokinetic and pharmacodynamic profiles of alirocumab administration.
To evaluate the long-term safety in participants receiving open-label alirocumab administration."
"466",466,"BriefSummary","Primary Objective:

To evaluate the efficacy of different doses and regimens of dupilumab in participants with moderate to severe uncontrolled asthma.

Secondary Objective:

To evaluate different doses and regimens of dupilumab in participants with moderate to severe uncontrolled asthma, with regard to:

Safety and tolerability
Dupilumab systemic exposure and anti-drug antibodies"
"467",467,"BriefSummary","This is a Phase 1, multi-center, open-label study.

During Segment 1, patients are administered a single IV administration of [14C]-iniparib.

During Segment 2, patients are administered iniparib with or without additional chemotherapy. Acceptable chemotherapy regimens is limited to those for which previous experience with iniparib exists."
"468",468,"BriefSummary","Primary Objectives:

Phase 1

-To characterize the safety and tolerability of isatuximab in combination with cemiplimab in participants with relapsed and refractory classic Hodgkin's lymphoma (cHL), diffuse large B-cell lymphoma (DLBCL) or peripheral T-cell lymphoma (PTCL), and to confirm the recommended Phase 2 dose (RP2D).

Phase 2

Cohort A1 (anti-programmed cell death protein 1/ligand 1 [PD-1/PD-L1] naïve cHL): To assess the complete remission (CR) rate of isatuximab in combination with cemiplimab.
Cohort A2 (cHL progressing from PD-1/PD-L1), B (DLBCL) and C (PTCL): To assess the objective response rate (ORR) of isatuximab in combination with cemiplimab.

Secondary Objectives:

To evaluate the safety of the RP2D of the combination of isatuximab with cemiplimab.
To evaluate the safety of the combination of isatuximab with cemiplimab and radiotherapy in patients with cHL.
To evaluate the immunogenicity of isatuximab and cemiplimab when given in combination.
To characterize the pharmacokinetic (PK) profile of isatuximab and cemiplimab when given in combination.
To assess overall efficacy of isatuximab in combination with cemiplimab and isatuximab in combination with cemiplimab and radiotherapy."
"469",469,"BriefSummary","The primary objective of the study is to demonstrate that dupilumab treatment improves exercise capacity in patients with moderate-to-severe asthma.

The secondary objectives of the study are:

To demonstrate that dupilumab treatment increases physical activity of daily living in patients with moderate-to-severe asthma
To demonstrate that dupilumab treatment improves pre- and post-exercise lung function in patients with moderate-to-severe asthma"
"470",470,"BriefSummary","Primary Objective:

To evaluate the efficacy of dupilumab, compared with placebo, for reducing the use of maintenance oral corticosteroids (OCS) in participants with severe steroid-dependent asthma.

Secondary Objectives:

To evaluate the safety and tolerability of dupilumab.
To evaluate the effect of dupilumab in improving participants-reported outcomes.
To evaluate dupilumab systemic exposure and the incidence of treatment-emergent antidrug antibodies."
"471",471,"BriefSummary","The primary objective of the study was to assess the ability of different Dupilumab dose regimens, administered as monotherapy, to maintain the treatment response achieved after 16 weeks of initial treatment with Dupilumab monotherapy compared to placebo."
"472",472,"BriefSummary","The purpose of this clinical trial was to determine whether combining iniparib (BSI-201) with standard chemotherapy in estrogen receptor (ER)-negative, progesterone receptor (PR)-negative, and human epidermal growth factor receptor 2 (HER2) negative metastatic breast cancer patients improve clinical benefit compared to treatment with standard chemotherapy alone.

Based on data generated by BiPar/Sanofi, it was concluded that iniparib does not possess characteristics typical of the poly (ADP-ribose) polymerase (PARP) inhibitor class. The exact mechanism has not yet been fully elucidated, however based on experiments on tumor cells performed in the laboratory, iniparib is a novel investigational anti-cancer agent that induces gamma-H2AX (a marker of DNA damage) in tumor cell lines, induces cell cycle arrest in the G2/M phase in tumor cell lines, and potentiates the cell cycle effects of DNA damaging modalities in tumor cell lines. Investigations into potential targets of iniparib and its metabolites are ongoing."
"473",473,"BriefSummary","The purpose of this study is to learn how hereditary or sporadic medullary thyroid cancer patients, treated with ZD6474, react to the drug, what happens to ZD6474 in the human body, about the side effects of ZD6474, and if ZD6474 can decrease or prevent the growth of tumors."
"474",474,"BriefSummary","The purpose of this open label, two stage, phase II study is to evaluate the efficacy and tolerability of ZD6474 in patients with locally advanced or metastatic hereditary medullary thyroid carcinoma."
"475",475,"BriefSummary","Although immune-inflammatory treatment is not routinely recommended to be used for SARS-CoV-2 pneumonia, according to the pathological findings of pulmonary oedema and hyaline membrane formation, timely and appropriate use of immune modulator together with ventilator support should be considered for the severe patients to prevent ARDS development. The sphingosine-1-phosphate receptor regulators Fingolimod (FTY720) is an effective immunology modulator which has been widely used in multiple sclerosis.The aim of this study was to determine whether the efficacy of fingolimod for a novel coronavirus disease (COVID-19)."
"476",476,"BriefSummary","This will be a single center, age de-escalation, partly-blinded, randomized study.

The trial will be performed with the participation of 100 healthy children age 1-5 years who have been vaccinated with inactivated polio vaccine (IPV) and/or oral polio vaccine (OPV) in their first year of life and of 648 healthy 6 week-old infants, who will be pre-vaccinated with bOPV-IPV before being randomized to study groups. The allocation of 18-22 week-old infants to groups will be performed in a randomized manner. Following completion and Data Safety Monitoring Board (DSMB) review of follow-up for general safety data (Serioius Adverse Events -SAEs-, Important Medical Events -IMEs- and severe adverse events -AEs), a DSMB recommendation to proceed will result in randomization of the final cohort of infants. Allocation of 1 to 5 year-old children to groups will be performed in a randomized manner.

The DSMB will establish and continuously assess stopping rules for safety."
"477",477,"BriefSummary","In vitro studies revealed that lopinavir/ritonavir and hydroxychloroquine have antiviral activity against Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). However, there is no clinical studies on the reduction of viral load in patients with COVID-19. This study investigate whether lopinavir/ritonavir or hydroxychloroquine reduces viral load from respiratory specimen in patients with mild COVID-19."
"478",478,"BriefSummary","Our project intends to independently develop a fully enclosed rapid detection system for a total of 22 pathogens, including SARS-CoV-2, on the basis of the QIAstat-Dx fully automatic multiple PCR detection platform. The reasonably designed experiments are used to verify the performance of the cartridge detection and prove its clinical application value. The 22 pathogens tested in this project includes 4 coronavirus subtypes, A / B flu, parainfluenza virus, respiratory syncytial virus, etc., which is of great significance for the differential diagnosis of similar patients."
"479",479,"BriefSummary","Background 25,000 infants are born extremely preterm every year in Europe. This group of infants carries a high risk of death and subsequent cerebral impairment for the infant, especially in the first 72 hours of life. Mortality is about 20%, and about 25% of survivors live with either cerebral palsy or low intelligence quotient. Preventative measures are keys to reducing mortality and morbidity in this population. There is evidence that the cerebral oxygenation time spent out of range (time with hypoxia or hyperoxia) is associated with poor outcome in infants. Near-infrared spectroscopy (NIRS) has been used to monitor tissue oxygenation since the mid-1980s, and quantification of oxygenation (rStO2) in a percentage from 0 to 100% has been possible for 10 years. From almost 400 preterm infants normal ranges of rStO2 has been determined to be from 55% to 85%. Still, there are no clinical trials and thus no solid evidence of the clinical utility of NIRS in preterm infants. Thus, research on the benefits and harms of cerebral monitoring using NIRS as a part of clinical management of premature infants is much needed.

Objectives The primary objective of the SafeBoosC trial is to examine if it is possible to stabilise the cerebral oxygenation of extremely preterm infants during the first 72 hours of life through the application of cerebral NIRS oximetry and implementation of an rStO2-specific clinical treatment guideline. We hypothesise that by using the specified treatment guideline to respond to cerebral monitoring readings outside the target range, we would reduce the burden of hypo- and hyperoxia and consequently reduce brain injury.

Trial design This is an investigator-initiated randomised, blinded, multinational, phase II feasibility clinical trial involving preterm infants from 12 European countries.

Inclusion criteria The inclusion criteria are: neonates born more than 12 weeks preterm (gestational age up to 27 weeks and 6 days); decision to conduct full life support; parental informed consent; and cerebral NIRS oximeter placed within 3 hours after birth.

Sample size With a 50% reduction of the area outside the normal range of oxygenation in %hours in the experimental group compared to the control group as the minimal clinically significant difference, a standard deviation of the area outside the normal range of 83.2 %hours, a type I error (alpha) of 5%, and a type II error of 0.05 (power of 95%) inclusion of 75 preterm infants in the experimental group and 75 preterm infants in the control group is required. The inclusion of twins are likely to decrease power, so it has been decided to increase sample size to 165 on a pragmatic basis of estimating intracluster correlation, control event rate, and incidence of twin births.

Intervention The premature infants will be randomised into one of two groups (experimental or control). Common is that both groups will have a cerebral oximeter monitoring device placed within three hours after birth. In the experimental group, the cerebral oxygenation reading is visible, and the infant will be treated accordingly using a defined treatment guideline. In the control group, the cerebral oxygenation reading is NOT visible, and the infant will be treated as usual.

Trial duration Monitoring by cerebral oximeter will be started as soon as possible and within 3 hours after birth and the intervention will last for 72 hours. Thereafter, each neonate will be followed up at term date (approximately three months after birth) and at 24 months after term date.

Outcome measures The primary outcome is the burden of hypo- and hyperoxia in %hours during the first 72 hours after birth. The secondary outcomes are brain activity on an amplitude-integrated electroencephalogram (aEEG), blood biomarkers (brain fatty acid binding protein (BFABP), neuroketal, and S100β), serious adverse reactions (SARs), severe brain injury, and all cause mortality at term date (approximately three months after birth). The exploratory outcomes are burden of hypoxia, burden of hyperoxia, neonatal morbidities, brain injury score on magnetic resonance imaging (MRI), number of therapies implemented during the intervention, physiological variables (mean blood pressure (BP), pulse oximeter oxygen saturation (SpO2), and partial pressure of carbon dioxide (pCO2)), and psychomotor impairment according to neurodevelopmental scales at 24 months after term date."
"480",480,"BriefSummary","The overall purpose of this project is to better understand the incidence, risk factors, etiology, clinical manifestations and outcome of tCOVID19 in solid organ transplant recipients. The results obtained will allow us to gain insight on the need of antiviral treatment, on the strategy for complications surveillance, on how to adjust the immunosuppressant therapy and on the level of care in which each patient should be treated. In order to attain the objectives previously described we will develop a multicenter prospective study of consecutive cases of COVID-19 among solid organ transplant recipients."
"481",481,"BriefSummary","This pilot clinical trial studies fluorine (F)-18 16 alpha-fluoroestradiol (18F-FES) positron emission tomography (PET)/computed tomography (CT) in imaging patients with desmoid tumors. 18F-FES binds to estrogen receptors, which are present on desmoid tumors, and gives off radiation that may be detected by PET and CT scans. The PET/CT scan forms an image that may show where tumor cells with estrogen receptors can be found in the body."
"482",482,"BriefSummary","Primary Objective:

To assess the safety and tolerability of sotagliflozin after a multiple oral dose administration in Chinese healthy subjects.

Secondary Objectives:

To assess the pharmacokinetic (PK) parameters of sotagliflozin after a multiple oral dose administration in Chinese healthy subjects.
To assess the pharmacodynamics (PD) parameters of absolute urinary glucose excretion after a multiple oral dose administration in Chinese healthy subjects."
"483",483,"BriefSummary","Primary Objective:

To demonstrate the superiority of sotagliflozin dose 1 versus placebo on hemoglobin A1c (HbA1c) reduction in Chinese patients with type 2 diabetes (T2D) who have inadequate glycemic control on diet and exercise.

Secondary Objectives:

To compare sotagliflozin dose 1 versus placebo for change in 2-hour postprandial glucose (PPG) following a mixed meal tolerance test (MMTT), change in fasting plasma glucose (FPG), and change in body weight.
To compare sotagliflozin dose 2 versus placebo for change in HbA1c, change in 2-hour PPG following a MMTT, change in FPG, and change in body weight.
To compare sotagliflozin dose 2 and sotagliflozin dose 1 versus placebo for change in systolic blood pressure (SBP) for all patients, and change in SBP for patients with baseline SBP ≥130 mmHg.
To evaluate the safety of sotagliflozin dose 2 and sotagliflozin dose 1 versus placebo."
"484",484,"BriefSummary","Primary Objective:

To demonstrate that sotagliflozin reduces cardiovascular (CV) mortality and morbidity (composite of CV death or hospitalization for heart failure [HHF]) compared to placebo in hemodynamically stable patients with type 2 diabetes (T2D) and heart failure (HF) with left ventricular ejection fraction (LVEF) <50%, after admission for worsening heart failure (WHF).
To demonstrate that sotagliflozin reduces cardiovascular (CV) mortality and morbidity (composite of CV death or hospitalization for heart failure [HHF]) compared to placebo in hemodynamically stable patients with T2D and HF irrespective of LVEF after admission for WHF.

Secondary Objectives:

To demonstrate that, when compared to placebo in the toal patient population, sotagliflozin reduces the total number (i.e., including recurrent events) of the following clinical events:
Cardiovascular death, HHF or urgent HF visit.
To demonstrate that, when compared to placebo, sotagliflozin reduces:
The composite of positively adjudicated sustained ≥50% decrease in eGFR, chronic dialysis, renal transplant or positively adjudicated sustained eGFR <15 mL/min/1.73 m2 in the total patient population.
Cardiovascular death in patients with LVEF < 50%.
Cardiovascular death in the total patient population.
All-cause mortality in patients with LVEF < 50%.
All cause mortality in the total patient population.
To demonstrate the safety and tolerability of sotagliflozin in the total population in this study."
"485",485,"BriefSummary","Primary Objective:

-To demonstrate that, efpeglenatide doses 1 and 2 is noninferior to placebo on 3-point major adverse cardiac event (MACE) in Type 2 diabetes mellitus (T2DM) patients at high cardiovascular (CV) risk.

Secondary Objectives:

To demonstrate that efpeglenatide doses 1 and 2 is superior to placebo in T2DM patients with high CV risk on the following parameters:
3-point MACE.
Expanded CV outcome.
Composite outcome of new or worsening nephropathy.
To assess the safety and tolerability of efpeglenatide doses 1 and 2, both added to standard of care in T2DM patients at high CV risk."
"486",486,"BriefSummary","Primary Objective:

To assess the effects of multiple-dose hydrochlorothiazide (HCTZ) on the steady-state pharmacokinetics (PK) of sotagliflozin.

Secondary Objectives:

To assess the safety and tolerability of multiple-dose sotagliflozin with and without co-administration of multiple-dose HCTZ
To assess the effects of multiple-dose sotagliflozin on the steady-state PK of HCTZ
To assess the effects of multiple-dose HCTZ on the steady-state PK of sotagliflozin-3-O-glucuronide"
"487",487,"BriefSummary","Primary Objective:

To demonstrate the superiority of sotagliflozin dose 1 versus placebo with respect to hemoglobin A1c (Hb1Ac) reduction in patients with type 2 diabetes (T2D) who have inadequate glycemic control on diet and exercise only or with a stable antidiabetes regimen.

Secondary Objectives:

To compare the effects of sotagliflozin dose 1 and dose 2 versus placebo with respect to the percent change in bone mineral density (BMD) at lumbar spine, total hip, and femoral neck, measured by dual-energy X-ray absorptiometry (DXA).
To demonstrate the superiority of sotagliflozin dose 1 versus placebo on change in body weight (BW), fasting plasma glucose (FPG), systolic blood pressure (SBP) for all patients; and to evaluate the proportion of patients with a HbA1C <7%.
To demonstrate the superiority of sotagliflozin dose 2 versus placebo with respect to HbA1c reduction; change in BW, FPG, and SBP for all patients; and to evaluate the proportion of patients with HbA1c <7.0%.
To evaluate the safety of sotagliflozin dose 1 and dose 2 compared with placebo."
"488",488,"BriefSummary","Primary Objective:

To demonstrate the superiority of once weekly injection of efpeglenatide in comparison to placebo in glycated hemoglobin (HbA1c) change in participants with T2DM (Type 2 Diabetes Mellitus) inadequately controlled with diet and exercise.

Secondary Objectives:

To demonstrate the superiority of once-weekly injection of efpeglenatide in comparison to placebo on glycemic control
To demonstrate the superiority of once-weekly injection of efpeglenatide in comparison to placebo on body weight
To evaluate the safety of once-weekly injection of efpeglenatide"
"489",489,"BriefSummary","Primary Objectives:

To demonstrate that, when compared to placebo in patients with type 2 diabetes (T2D), cardiovascular (CV) risk factors, and moderately impaired renal function, sotagliflozin:

Does not increase the risk of cardiovascular events including death from cardiovascular disease, non-fatal heart attack and non-fatal stroke;
Reduces the risk of death from CV disease or hospitalization for heart failure.

Secondary Objectives:

To demonstrate that, when compared to placebo in patients with T2D, CV risk factors, and moderately impaired renal function, sotagliflozin:
Reduces cardiovascular events including death from cardiovascular disease, non-fatal heart attack and non-fatal stroke;
Reduces risk of progression of kidney disease;
Reduces cardiovascular events including death from cardiovascular disease and emergency treatment for heart failure;
Reduces death from cardiovascular disease;
Reduces death from any cause.
To assess the safety and tolerability of sotagliflozin."
"490",490,"BriefSummary","Primary Objective:

To demonstrate the superiority of sotagliflozin dose 1 versus placebo on hemoglobin A1c (HbA1c) reduction in patients with type 2 diabetes (T2D) who have inadequate glycemic control on diet and exercise.

Secondary Objectives:

To compare sotagliflozin dose 1 versus placebo based on:
Change from baseline in 2-hour postprandial glucose (PPG) following a mixed meal;
Change from baseline in fasting plasma glucose (FPG);
Change from baseline in systolic blood pressure (SBP) for patients with baseline SBP ≥130 mmHg;
Change from baseline in SBP for all patients;
Change from baseline in body weight;
Proportion of patients with HbA1c <6.5%, <7.0%.
To compare sotagliflozin dose 2 versus placebo based on:
Change from baseline in HbA1c
Change from baseline in 2-hour postprandial glucose (PPG) following a mixed meal;
Change from baseline in body weight;
Change from baseline in SBP for all patients.
To evaluate the safety of sotagliflozin doses 1 and 2 versus placebo."
"491",491,"BriefSummary","There are currently no clinical studies reporting clinical characteristics difference between the hypertension patients with and without ACEI treatment when suffered with novel coronavirus infection in China."
"492",492,"BriefSummary","Primary Objective:

To describe the safety and tolerability, including laboratory abnormalities following a single dose of sarilumab or tocilizumab administered subcutaneously (SC) as monotherapy in Japanese patients with rheumatoid arthritis (RA).

Secondary Objectives:

To describe the laboratory abnormalities (absolute neutrophil count [ANC], platelet counts, total cholesterol, high-density lipoprotein [HDL] cholesterol, low-density lipoprotein [LDL] cholesterol, and liver function tests [LFTs]) following a single dose of sarilumab or tocilizumab administered SC as monotherapy in Japanese patients with RA.

To describe the pharmacokinetics (PK) of sarilumab and tocilizumab."
